player_id,name,position,goals,assists,goal_conversion_percentage,big_chances_created,shots,shots_on_target,passes,pass_accuracy,key_passes,cross_accuracy,tackles,interceptions,ground_duels_won_percentage,aerial_duels_won,total_duels_won,successful_dribbles
pl_30176120,Evan Ndicka,D,0.10063361908311592,0.0,13.0,0.033544539694371975,0.7715244129705554,0.20126723816623185,54.811777860603804,90.6,0.20126723816623185,0.0,0.8050689526649274,1.6436824450242267,58.6,2.54938501677227,7.212076034289974,0.1341781587774879
pl_13353589,Gianluca Mancini,D,0.11741682974559686,0.05870841487279843,20.0,0.14677103718199608,0.5870841487279843,0.23483365949119372,48.405088062622305,86.9,0.6457925636007827,19.4,1.5264187866927592,1.4383561643835614,56.0,2.6712328767123283,8.189823874755382,0.11741682974559686
pl_13457407,Lorenzo Pellegrini,F,0.24406779661016947,0.12203389830508474,12.5,0.24406779661016947,1.9525423728813558,0.7322033898305085,41.6135593220339,77.1,1.7084745762711864,26.7,0.7322033898305085,0.8542372881355932,44.0,1.2813559322033898,5.979661016949152,0.3050847457627119
pl_30488023,Manu Koné,M,0.07320048800325335,0.10980073200488003,9.5,0.1464009760065067,0.7686051240341603,0.18300122000813338,50.142334282228546,90.4,0.915006100040667,0.0,1.793411956079707,0.6588043920292802,50.5,1.024806832045547,6.6978446522976816,1.0614070760471737
pl_1618567,Mario Hermoso,D,0.12881679389312978,0.08587786259541985,15.0,0.042938931297709926,0.8587786259541985,0.25763358778625955,61.016221374045806,87.0,0.42938931297709926,11.1,1.5458015267175573,1.245229007633588,53.8,2.1469465648854964,6.741412213740459,0.1717557251908397
pl_7204033,Marten de Roon,M,0.03328402366863906,0.06656804733727811,6.3,0.03328402366863906,0.5325443786982249,0.13313609467455623,64.63757396449704,85.9,0.7988165680473372,23.1,2.6960059171597632,0.8986686390532544,52.0,1.198224852071006,5.525147928994083,0.09985207100591716
pl_62826084,Matías Soulé,F,0.24919243193354867,0.2076603599446239,11.5,0.2076603599446239,2.1596677434240883,0.747577295800646,41.07521919704661,84.4,1.9104753114905397,30.0,0.7891093677895707,0.373788647900323,39.8,0.373788647900323,4.6931241347484995,1.4536225196123673
pl_61338125,Mile Svilar,G,0.0,0.0,0.0,0.0,0.0,0.0,30.710526315789473,69.5,0.0,0.0,0.07894736842105263,0.02631578947368421,83.3,0.3157894736842105,0.8421052631578947,0.0
pl_25929251,Niccolò Pisilli,M,0.138996138996139,0.277992277992278,10.5,0.2084942084942085,1.3204633204633205,0.34749034749034746,56.43243243243243,86.1,0.9034749034749034,33.3,1.8764478764478765,1.667953667953668,34.4,0.9034749034749034,4.517374517374518,0.555984555984556
pl_7931926,Paulo Dybala,F,0.13274336283185842,0.39823008849557523,4.7,0.5973451327433629,2.853982300884956,1.1946902654867257,45.33185840707964,83.6,3.650442477876106,29.6,0.6637168141592921,0.26548672566371684,45.9,0.6637168141592921,5.84070796460177,1.261061946902655
